TEAM,march_madness,Conference,YEAR
Texas A&M,R32,B12,2009
Clemson,R64,ACC,2021
Iowa,R32,B10,2019
Missouri,R64,SEC,2018
Virginia Tech,R64,ACC,2017
Oklahoma St.,R64,B12,2015
UCLA,R32,P10,2011
San Diego St.,R64,MWC,2010
UNLV,R32,MWC,2008
Ohio St.,R32,B10,2019
UCLA,S16,P12,2015
Villanova,R64,BE,2013
West Virginia,R64,BE,2012
Penn St.,R64,B10,2011
New Mexico,R32,MWC,2010
LSU,R32,SEC,2009
Saint Mary's,R64,WCC,2008
Davidson,R64,A10,2022
Utah St.,R64,MWC,2021
Oklahoma,R64,B12,2018
Middle Tennessee,R32,CUSA,2017
USC,R64,P12,2016
Arizona St.,R64,P12,2014
UCLA,R64,P12,2013
Minnesota,R64,B10,2009
Villanova,S16,BE,2008
Murray St.,R32,OVC,2022
Minnesota,R32,B10,2019
Syracuse,S16,ACC,2018
Providence,R32,BE,2016
Oregon,R32,P12,2015
Providence,R64,BE,2014
Louisville,R64,BE,2010
Oklahoma,R32,B12,2008
Arkansas,R32,SEC,2017
Stephen F. Austin,R32,Slnd,2016
Oklahoma,R64,B12,2013
Xavier,R64,A10,2011
Richmond,R64,A10,2010
Butler,R64,Horz,2009
Western Kentucky,S16,SB,2008
Colorado St.,R64,MWC,2022
New Mexico St.,R64,WAC,2019
Long Beach St.,R64,BW,2012
Richmond,S16,A10,2011
Cornell,S16,Ivy,2010
Saint Joseph's,R64,A10,2008
Virginia Tech,R64,ACC,2021
Belmont,R64,OVC,2019
Dayton,R64,A10,2017
Yale,R32,Ivy,2016
Dayton,E8,A10,2014
Florida,R64,SEC,2010
Creighton,R32,BE,2022
Washington,R32,P12,2019
Davidson,R64,A10,2018
Notre Dame,E8,ACC,2016
Nebraska,R64,B10,2014
Mississippi,R32,SEC,2013
Saint Mary's,R64,WCC,2012
Tennessee,R64,SEC,2011
Maryland,R32,ACC,2009
Georgetown,R64,BE,2021
North Carolina St.,R64,ACC,2018
Seton Hall,R64,BE,2017
Michigan,R64,B10,2016
George Washington,R64,A10,2014
Michigan St.,R64,B10,2011
Oregon St.,E8,P12,2021
Dayton,R32,A10,2015
Ohio,S16,MAC,2012
Texas Tech,R64,B12,2016
BYU,R64,WCC,2014
Old Dominion,R64,CAA,2011
Wake Forest,R32,ACC,2010
Temple,R64,A10,2009
Vanderbilt,R64,SEC,2008
Nevada,R64,MWC,2017
Dayton,R64,A10,2016
Temple,R32,A10,2013
VCU,R64,CAA,2009
Northern Iowa,R32,MVC,2016
Stephen F. Austin,R64,Slnd,2015
North Carolina St.,R64,ACC,2014
Notre Dame,R64,BE,2012
Utah St.,R64,WAC,2009
California,R32,P12,2013
USC,R64,P12,2022
Alabama,R32,SEC,2018
Princeton,R64,Ivy,2017
Colorado,R64,P12,2016
Belmont,R64,OVC,2013
Texas A&M,R64,B12,2011
Murray St.,R32,OVC,2019
Providence,R64,BE,2018
UAB,R64,CUSA,2022
Hawaii,R32,BW,2016
Mississippi,R64,SEC,2015
Xavier,S16,A10,2012
Mississippi St.,R64,SEC,2009
